# Reference library (divisor): wt
# Comparison library (numerator): mut
Orientation of counted reads relative to the strand location of the annotation	Sequence name	Source	Feature	Start	End	Score	Strand	Frame	Attributes	mut_R1 raw countings	mut_R2 raw countings	wt_R1 raw countings	wt_R2 raw countings	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
sense	NC_003901.1	Protein Homology	CDS	309343	310392	.	+	0	ID=cds-WP_011032184.1;Parent=gene-MM_RS01270;Dbxref=GenBank:WP_011032184.1,GeneID:1478572;Name=WP_011032184.1;Ontology_term=GO:0098662,GO:0016020;gbkey=CDS;go_component=membrane|0016020||IEA;go_process=inorganic cation transmembrane transport|0098662||IEA;inference=COORDINATES: similar to AA sequence:RefSeq:WP_011032184.1;locus_tag=MM_RS01270;product=calcium/sodium antiporter;protein_id=WP_011032184.1;transl_table=11	491.0	684.5666666666666	201.33333333333334	275.83333333333337	373.561086884943	0.435850632053051	0.178336791607189	2.4439748417874	0.0145264394774573	0.0796761501150346
sense	NC_003901.1	Protein Homology	CDS	311027	311698	.	-	0	ID=cds-WP_011032185.1;Parent=gene-MM_RS01275;Dbxref=GenBank:WP_011032185.1,GeneID:1478573;Name=WP_011032185.1;Ontology_term=GO:0016310,GO:0016301;gbkey=CDS;go_function=kinase activity|0016301||IEA;go_process=phosphorylation|0016310||IEA;inference=COORDINATES: similar to AA sequence:RefSeq:WP_011032185.1;locus_tag=MM_RS01275;product=diacylglycerol/polyprenol kinase family protein;protein_id=WP_011032185.1;transl_table=11	39.2	51.28333333333334	17.54	31.24	32.3687800291564	0.0545008005509735	0.304893497448467	0.178753568072357	0.858131205269444	NA
sense	NC_003901.1	Protein Homology	CDS	312030	312401	.	+	0	ID=cds-WP_011032186.1;Parent=gene-MM_RS01280;Dbxref=GenBank:WP_011032186.1,GeneID:1478574;Name=WP_011032186.1;gbkey=CDS;inference=COORDINATES: similar to AA sequence:RefSeq:WP_011032186.1;locus_tag=MM_RS01280;product=VOC family protein;protein_id=WP_011032186.1;transl_table=11	28.0	29.5	18.0	15.25	22.3623797106922	-0.0220088062606947	0.318593342367441	-0.0690811869989155	0.944924995849286	NA
sense	NC_003901.1	Protein Homology	CDS	312628	313383	.	-	0	ID=cds-WP_048037132.1;Parent=gene-MM_RS01285;Dbxref=GenBank:WP_048037132.1,GeneID:1478575;Name=WP_048037132.1;Ontology_term=GO:0006419,GO:0002161;gbkey=CDS;gene=alaXM;go_function=aminoacyl-tRNA editing activity|0002161||IEA;go_process=alanyl-tRNA aminoacylation|0006419||IEA;inference=COORDINATES: similar to AA sequence:RefSeq:WP_048037132.1;locus_tag=MM_RS01285;product=alanyl-tRNA editing protein AlaXM;protein_id=WP_048037132.1;transl_table=11	105.2	149.25	69.11111111111111	104.0	103.00360980932	-0.217390872241533	0.237946680012503	-0.913611705908691	0.360920913256827	0.624894040999163
sense	NC_003901.1	Protein Homology	CDS	313694	317020	.	-	0	ID=cds-WP_226987669.1;Parent=gene-MM_RS01290;Dbxref=GenBank:WP_226987669.1,GeneID:24771920;Name=WP_226987669.1;gbkey=CDS;inference=COORDINATES: similar to AA sequence:RefSeq:WP_015410960.1;locus_tag=MM_RS01290;product=NosD domain-containing protein;protein_id=WP_226987669.1;transl_table=11	257.1	302.1333333333333	148.90833333333333	186.58333333333331	215.861435130019	-0.0767335450349823	0.204950468760229	-0.374400436842878	0.7081064179871	0.868726817578668
sense	NC_003901.1	Protein Homology	CDS	317354	318631	.	-	0	ID=cds-WP_011032189.1;Parent=gene-MM_RS01295;Dbxref=GenBank:WP_011032189.1,GeneID:1478577;Name=WP_011032189.1;gbkey=CDS;inference=COORDINATES: similar to AA sequence:RefSeq:WP_011032189.1;locus_tag=MM_RS01295;product=hypothetical protein;protein_id=WP_011032189.1;transl_table=11	150.16666666666669	206.08181818181816	95.0	104.27786561264821	132.766191153274	-0.00940646469539977	0.23226836172293	-0.0404982608290863	0.967695893563032	0.986434652970316
sense	NC_003901.1	Protein Homology	CDS	318992	319879	.	+	0	ID=cds-WP_011032190.1;Parent=gene-MM_RS01300;Dbxref=GenBank:WP_011032190.1,GeneID:1478578;Name=WP_011032190.1;gbkey=CDS;inference=COORDINATES: similar to AA sequence:RefSeq:WP_011032190.1;locus_tag=MM_RS01300;product=mechanosensitive ion channel family protein;protein_id=WP_011032190.1;transl_table=11	110.83333333333333	143.15833333333333	30.533333333333335	61.400000000000006	76.1662307177297	0.541919983757291	0.260487892646435	2.08040373105882	0.0374885173333885	0.151984471435965
sense	NC_003901.1	Protein Homology	CDS	320091	320453	.	-	0	ID=cds-WP_011032191.1;Parent=gene-MM_RS01305;Dbxref=GenBank:WP_011032191.1,GeneID:1478579;Name=WP_011032191.1;gbkey=CDS;inference=COORDINATES: similar to AA sequence:RefSeq:WP_015410962.1;locus_tag=MM_RS01305;product=Mth938-like domain-containing protein;protein_id=WP_011032191.1;transl_table=11	407.83333333333337	531.0	652.5	717.3928571428571	634.839363457216	-1.27280028622755	0.183712215065697	-6.92822894641158	4.26141706556281e-12	4.95517576383643e-10
sense	NC_003901.1	Protein Homology	CDS	320656	321381	.	+	0	ID=cds-WP_011032192.1;Parent=gene-MM_RS01310;Dbxref=GenBank:WP_011032192.1,GeneID:1478580;Name=WP_011032192.1;gbkey=CDS;inference=COORDINATES: similar to AA sequence:RefSeq:WP_015410963.1;locus_tag=MM_RS01310;product=AIM24 family protein;protein_id=WP_011032192.1;transl_table=11	103.0	129.5	48.0	77.0	83.6327152483743	0.0816226311831437	0.251264379121092	0.32484760262738	0.745296414925656	0.88273345958901
sense	NC_003901.1	Protein Homology	CDS	321496	322308	.	-	0	ID=cds-WP_011032193.1;Parent=gene-MM_RS01315;Dbxref=GenBank:WP_011032193.1,GeneID:1478581;Name=WP_011032193.1;gbkey=CDS;inference=COORDINATES: similar to AA sequence:RefSeq:WP_011032193.1;locus_tag=MM_RS01315;product=DUF166 domain-containing protein;protein_id=WP_011032193.1;transl_table=11	373.0833333333333	458.53571428571433	84.0	141.0	227.161643425136	0.976042501924672	0.200221476837063	4.8748142174526	1.0891090270752e-06	3.2979582726121e-05
sense	NC_003901.1	Protein Homology	CDS	322783	323169	.	-	0	ID=cds-WP_011032194.1;Parent=gene-MM_RS01320;Dbxref=GenBank:WP_011032194.1,GeneID:1478582;Name=WP_011032194.1;gbkey=CDS;inference=COORDINATES: similar to AA sequence:RefSeq:WP_011032194.1;locus_tag=MM_RS01320;product=4Fe-4S binding protein;protein_id=WP_011032194.1;transl_table=11	3769.878787878788	5447.0	1160.5454545454545	1509.212121212121	2578.1883796775	0.890470421144044	0.150635725347205	5.91141589481226	3.39179437954419e-09	1.93332279634019e-07
sense	NC_003901.1	Protein Homology	CDS	323172	324674	.	-	0	ID=cds-WP_011032195.1;Parent=gene-MM_RS01325;Dbxref=GenBank:WP_011032195.1,GeneID:1478583;Name=WP_011032195.1;gbkey=CDS;inference=COORDINATES: similar to AA sequence:RefSeq:WP_011021823.1;locus_tag=MM_RS01325;product=L-aspartate semialdehyde sulfurtransferase;protein_id=WP_011032195.1;transl_table=11	1122.7499999999998	1797.45	344.2	575.4166666666666	828.572226470763	0.794598487206482	0.162696069354071	4.88394397210185	1.03984633392077e-06	3.18192978179755e-05
sense	NC_003901.1	Protein Homology	CDS	325004	325459	.	+	0	ID=cds-WP_011032196.1;Parent=gene-MM_RS01330;Dbxref=GenBank:WP_011032196.1,GeneID:1478584;Name=WP_011032196.1;Ontology_term=GO:0009058,GO:0003824;gbkey=CDS;go_function=catalytic activity|0003824||IEA;go_process=biosynthetic process|0009058||IEA;inference=COORDINATES: similar to AA sequence:RefSeq:WP_011032196.1;locus_tag=MM_RS01330;product=adenylyltransferase/cytidyltransferase family protein;protein_id=WP_011032196.1;transl_table=11	118.66666666666666	203.66666666666669	38.53333333333333	107.0	103.237752277915	0.303352829064683	0.256818830158484	1.18119387459822	0.237525714079867	0.492755145611177
sense	NC_003901.1	Protein Homology	CDS	325483	326625	.	-	0	ID=cds-WP_011032197.1;Parent=gene-MM_RS01335;Dbxref=GenBank:WP_011032197.1,GeneID:1478585;Name=WP_011032197.1;Ontology_term=GO:0009058,GO:0008483,GO:0030170;gbkey=CDS;go_function=transaminase activity|0008483||IEA,pyridoxal phosphate binding|0030170||IEA;go_process=biosynthetic process|0009058||IEA;inference=COORDINATES: similar to AA sequence:RefSeq:WP_015410965.1;locus_tag=MM_RS01335;product=pyridoxal phosphate-dependent aminotransferase;protein_id=WP_011032197.1;transl_table=11	2347.5	2984.833333333334	1067.3333333333335	1799.142857142857	1910.21947597498	0.101278950728752	0.143376553500292	0.706384330325989	0.479949162829149	0.718392832619492
sense	NC_003901.1	Protein Homology	CDS	326679	327083	.	-	0	ID=cds-WP_011032198.1;Parent=gene-MM_RS01340;Dbxref=GenBank:WP_011032198.1,GeneID:1478586;Name=WP_011032198.1;Ontology_term=GO:0000906,GO:0009349;gbkey=CDS;gene=ribH;go_component=riboflavin synthase complex|0009349||IEA;go_function=6%2C7-dimethyl-8-ribityllumazine synthase activity|0000906||IEA;inference=COORDINATES: similar to AA sequence:RefSeq:WP_015410966.1;locus_tag=MM_RS01340;product=6%2C7-dimethyl-8-ribityllumazine synthase;protein_id=WP_011032198.1;transl_table=11	478.5	669.8333333333334	142.0	241.0	334.538820424509	0.714622500933829	0.181536369059406	3.93652525186275	8.26699248670808e-05	0.00139684304191911
sense	NC_003901.1	Protein Homology	CDS	327133	327597	.	-	0	ID=cds-WP_011032199.1;Parent=gene-MM_RS01345;Dbxref=GenBank:WP_011032199.1,GeneID:1478587;Name=WP_011032199.1;Ontology_term=GO:0004746;gbkey=CDS;gene=ribC;go_function=riboflavin synthase activity|0004746||IEA;inference=COORDINATES: similar to AA sequence:RefSeq:WP_011032199.1;locus_tag=MM_RS01345;product=riboflavin synthase;protein_id=WP_011032199.1;transl_table=11	742.5	923.625	399.0	602.25	635.09443886917	-0.0638428257232733	0.160457678238733	-0.397879530752566	0.690718989164464	0.857718966894958
sense	NC_003901.1	Protein Homology	CDS	327684	328835	.	-	0	ID=cds-WP_048037115.1;Parent=gene-MM_RS01350;Dbxref=GenBank:WP_048037115.1,GeneID:1478588;Name=WP_048037115.1;gbkey=CDS;inference=COORDINATES: similar to AA sequence:RefSeq:WP_015410967.1;locus_tag=MM_RS01350;product=pyridoxal-phosphate-dependent aminotransferase family protein;protein_id=WP_048037115.1;transl_table=11	1514.4833333333333	2155.311111111111	473.86507936507934	1020.9102564102565	1143.14513022825	0.489080967722282	0.169664216061794	2.8826406597379	0.00394357024558482	0.0303279330791404
sense	NC_003901.1	Protein Homology	CDS	329160	329723	.	-	0	ID=cds-WP_011032201.1;Parent=gene-MM_RS01355;Dbxref=GenBank:WP_011032201.1,GeneID:1478589;Name=WP_011032201.1;gbkey=CDS;inference=COORDINATES: similar to AA sequence:RefSeq:WP_011032201.1;locus_tag=MM_RS01355;product=helix-turn-helix domain-containing protein;protein_id=WP_011032201.1;transl_table=11	1062.3333333333335	1284.8333333333333	774.8333333333333	1034.0	1033.30454593801	-0.414417601060776	0.158270773392787	-2.6184088962041	0.00883408773057266	0.0548990275588969
sense	NC_003901.1	Protein Homology	CDS	330322	332616	.	-	0	ID=cds-WP_011032202.1;Parent=gene-MM_RS01360;Dbxref=GenBank:WP_011032202.1,GeneID:1478590;Name=WP_011032202.1;Ontology_term=GO:0005524,GO:0016887;gbkey=CDS;go_function=ATP binding|0005524||IEA,ATP hydrolysis activity|0016887||IEA;inference=COORDINATES: similar to AA sequence:RefSeq:WP_015410969.1;locus_tag=MM_RS01360;product=CDC48 family AAA ATPase;protein_id=WP_011032202.1;transl_table=11	79.70833333333334	115.0	37.0	52.825	65.303680015375	0.22878612664361	0.267408654629412	0.855567397250748	0.39223710999388	0.652680754866748
sense	NC_003901.1	Protein Homology	CDS	332703	333359	.	-	0	ID=cds-WP_011032203.1;Parent=gene-MM_RS01365;Dbxref=GenBank:WP_011032203.1,GeneID:1478591;Name=WP_011032203.1;Ontology_term=GO:0009055,GO:0010181;gbkey=CDS;go_function=electron transfer activity|0009055||IEA,FMN binding|0010181||IEA;inference=COORDINATES: similar to AA sequence:RefSeq:WP_015410970.1;locus_tag=MM_RS01365;product=flavodoxin family protein;protein_id=WP_011032203.1;transl_table=11	41.074999999999996	50.083333333333336	14.333333333333332	25.833333333333332	29.6557769442791	0.255396035813494	0.309068623432778	0.826340872058928	0.408610754365946	NA
sense	NC_003901.1	Protein Homology	CDS	333454	334887	.	-	0	ID=cds-MM_RS01370;Parent=gene-MM_RS01370;Dbxref=GeneID:1478592;Note=internal stop;Ontology_term=GO:0004803;gbkey=CDS;gene=tnpC;go_function=transposase activity|0004803||IEA;inference=COORDINATES: similar to AA sequence:RefSeq:WP_011021441.1;locus_tag=MM_RS01370;product=IS66 family transposase;pseudo=true;transl_table=11	1017.7519913093499	1282.1673320960278	456.25615721997633	731.2853650434475	810.527683511986	0.148514582287018	0.15466295634545	0.960246627869321	0.336931104612521	0.600526499760023
sense	NC_003901.1	Protein Homology	CDS	335338	335565	.	-	0	ID=cds-WP_011032206.1;Parent=gene-MM_RS01380;Dbxref=GenBank:WP_011032206.1,GeneID:1478594;Name=WP_011032206.1;gbkey=CDS;inference=COORDINATES: similar to AA sequence:RefSeq:WP_011032206.1;locus_tag=MM_RS01380;product=winged helix-turn-helix domain-containing protein;protein_id=WP_011032206.1;transl_table=11	860.2	1173.0	725.0	796.0	887.686210527197	-0.40489450554387	0.17743563852839	-2.28192323087949	0.0224938730415525	0.108082130465774
sense	NC_003901.1	tRNAscan-SE	tRNA	335887	335960	.	-	.	ID=rna-MM_RS01385;Parent=gene-MM_RS01385;Dbxref=GeneID:2820498;anticodon=(pos:complement(335924..335926));gbkey=tRNA;inference=COORDINATES: profile:tRNAscan-SE:2.0.12;locus_tag=MM_RS01385;product=tRNA-Val	21642.21666666667	20051.966666666674	8724.0	12059.233333333332	14744.8142591968	0.201405442805525	0.170299012004715	1.18265772910032	0.236944823337579	0.492755145611177
sense	NC_003901.1	GeneMarkS-2+	CDS	337026	337247	.	-	0	ID=cds-WP_054869674.1;Parent=gene-MM_RS01395;Dbxref=GenBank:WP_054869674.1,GeneID:24771922;Name=WP_054869674.1;gbkey=CDS;inference=COORDINATES: ab initio prediction:GeneMarkS-2+;locus_tag=MM_RS01395;product=hypothetical protein;protein_id=WP_054869674.1;transl_table=11	337.5769230769231	388.5	169.0	254.83333333333334	273.604500586509	-0.0179275807992149	0.190648363904434	-0.0940348001528164	0.9250815126798	0.967496748375378
sense	NC_003901.1	Protein Homology	CDS	337562	339379	.	-	0	ID=cds-WP_015410972.1;Parent=gene-MM_RS01400;Dbxref=GenBank:WP_015410972.1,GeneID:1478595;Name=WP_015410972.1;gbkey=CDS;inference=COORDINATES: similar to AA sequence:RefSeq:WP_015410972.1;locus_tag=MM_RS01400;product=replication factor C large subunit;protein_id=WP_015410972.1;transl_table=11	877.9761904761905	1403.1666666666667	421.6388888888889	692.3611111111111	775.243448232908	0.202742944094299	0.162302748789476	1.24916519040154	0.211604660884684	0.466364480054418
sense	NC_003901.1	Protein Homology	CDS	339782	340639	.	+	0	ID=cds-WP_011032208.1;Parent=gene-MM_RS01405;Dbxref=GenBank:WP_011032208.1,GeneID:1478596;Name=WP_011032208.1;Ontology_term=GO:0008168;gbkey=CDS;gene=mtxX;go_function=methyltransferase activity|0008168||IEA;inference=COORDINATES: similar to AA sequence:RefSeq:WP_011032208.1;locus_tag=MM_RS01405;product=methanogenesis marker protein Mmp4/MtxX;protein_id=WP_011032208.1;transl_table=11	670.5000000000001	1176.4761904761904	396.5	742.5833333333334	696.412722715049	-0.0994340859541986	0.177185567976696	-0.561186145630533	0.574670646589817	0.790240099165845
sense	NC_003901.1	Protein Homology	CDS	340636	341229	.	+	0	ID=cds-WP_080503015.1;Parent=gene-MM_RS01410;Dbxref=GenBank:WP_080503015.1,GeneID:1478597;Name=WP_080503015.1;gbkey=CDS;inference=COORDINATES: similar to AA sequence:RefSeq:WP_011021808.1;locus_tag=MM_RS01410;product=tetrahydromethanopterin S-methyltransferase subunit A;protein_id=WP_080503015.1;transl_table=11	144.37619047619046	203.89999999999998	66.325	133.675	127.024368037342	0.0153604072940938	0.230129522343739	0.0667467917095413	0.946783282945182	0.977378907500584
sense	NC_003901.1	Protein Homology	CDS	341401	342333	.	+	0	ID=cds-WP_011032210.1;Parent=gene-MM_RS01415;Dbxref=GenBank:WP_011032210.1,GeneID:1478598;Name=WP_011032210.1;Ontology_term=GO:0015948,GO:0030269;gbkey=CDS;gene=mtrH;go_function=tetrahydromethanopterin S-methyltransferase activity|0030269||IEA;go_process=methanogenesis|0015948||IEA;inference=COORDINATES: similar to AA sequence:RefSeq:WP_011307049.1;locus_tag=MM_RS01415;product=tetrahydromethanopterin S-methyltransferase subunit H;protein_id=WP_011032210.1;transl_table=11	240.0	423.0	161.83333333333334	284.0	262.762864569885	-0.217030867655873	0.199850552764205	-1.08596581122264	0.277494118419951	0.535123336180618
sense	NC_003901.1	GeneMarkS-2+	CDS	342877	343233	.	+	0	ID=cds-WP_137726798.1;Parent=gene-MM_RS01420;Dbxref=GenBank:WP_137726798.1,GeneID:1478599;Name=WP_137726798.1;gbkey=CDS;inference=COORDINATES: ab initio prediction:GeneMarkS-2+;locus_tag=MM_RS01420;product=hypothetical protein;protein_id=WP_137726798.1;transl_table=11	508.14285714285717	530.1428571428571	243.28571428571428	315.1666666666667	380.012307342304	0.080046527689248	0.190344914693647	0.42053410157072	0.674095322739946	0.850892712781446
sense	NC_003901.1	Protein Homology	CDS	343324	344529	.	+	0	ID=cds-WP_076611572.1;Parent=gene-MM_RS17675;Dbxref=GenBank:WP_076611572.1,GeneID:31474375;Name=WP_076611572.1;Ontology_term=GO:0006313,GO:0004803;gbkey=CDS;go_function=transposase activity|0004803||IEA;go_process=DNA transposition|0006313||IEA;inference=COORDINATES: similar to AA sequence:RefSeq:WP_076611572.1;locus_tag=MM_RS17675;product=ISH3-like element ISMma1 family transposase;protein_id=WP_076611572.1;transl_table=11	344.2789682539578	346.93168498167495	114.38333333333432	239.16111111110615	241.195998051006	0.198597407692212	0.211659537138056	0.938287073559442	0.348096900915577	0.612152051523693
sense	NC_003901.1	Protein Homology	CDS	344852	345013	.	-	0	ID=cds-WP_015410975.1;Parent=gene-MM_RS18750;Dbxref=GenBank:WP_015410975.1,GeneID:43837197;Name=WP_015410975.1;gbkey=CDS;inference=COORDINATES: similar to AA sequence:RefSeq:WP_015410975.1;locus_tag=MM_RS18750;product=hypothetical protein;protein_id=WP_015410975.1;transl_table=11	232.0	287.5	138.0	131.0	188.794811305878	0.0754490512722547	0.226595073171796	0.332968630853911	0.739157962287417	0.8800639970522
sense	NC_003901.1	Protein Homology	CDS	345352	347013	.	-	0	ID=cds-WP_011032213.1;Parent=gene-MM_RS01430;Dbxref=GenBank:WP_011032213.1,GeneID:1478601;Name=WP_011032213.1;Ontology_term=GO:0009082,GO:0004160,GO:0051536;gbkey=CDS;gene=ilvD;go_function=dihydroxy-acid dehydratase activity|0004160||IEA,iron-sulfur cluster binding|0051536||IEA;go_process=branched-chain amino acid biosynthetic process|0009082||IEA;inference=COORDINATES: similar to AA sequence:RefSeq:WP_011021805.1;locus_tag=MM_RS01430;product=dihydroxy-acid dehydratase;protein_id=WP_011032213.1;transl_table=11	1479.4666666666667	1897.3944444444448	1132.7583333333334	1520.777777777778	1500.11667754597	-0.448981549856047	0.151026016607318	-2.97287553457391	0.00295024060271134	0.0243160868113805
sense	NC_003901.1	Protein Homology	CDS	348419	350185	.	+	0	ID=cds-WP_048044839.1;Parent=gene-MM_RS01435;Dbxref=GenBank:WP_048044839.1,GeneID:1478602;Name=WP_048044839.1;Ontology_term=GO:0005515;gbkey=CDS;go_function=protein binding|0005515||IEA;inference=COORDINATES: similar to AA sequence:RefSeq:WP_011032214.1;locus_tag=MM_RS01435;product=PAS domain-containing protein;protein_id=WP_048044839.1;transl_table=11	133.5	142.2016806722689	65.2	95.66666666666666	104.383742824784	-0.0116980461944014	0.241625542184016	-0.0484139470052073	0.961386344236617	0.984413562062643
sense	NC_003901.1	Protein Homology	CDS	350388	350837	.	+	0	ID=cds-WP_011032215.1;Parent=gene-MM_RS01440;Dbxref=GenBank:WP_011032215.1,GeneID:1478603;Name=WP_011032215.1;Ontology_term=GO:0010181;gbkey=CDS;go_function=FMN binding|0010181||IEA;inference=COORDINATES: similar to AA sequence:RefSeq:WP_011032215.1;locus_tag=MM_RS01440;product=flavodoxin domain-containing protein;protein_id=WP_011032215.1;transl_table=11	54.333333333333336	104.0	35.0	48.0	55.7367214803511	0.0587755241318788	0.281264827798874	0.208968624309854	0.834472732044273	0.928594441087786
sense	NC_003901.1	Protein Homology	CDS	350979	351776	.	-	0	ID=cds-WP_011032216.1;Parent=gene-MM_RS01445;Dbxref=GenBank:WP_011032216.1,GeneID:1478604;Name=WP_011032216.1;gbkey=CDS;inference=COORDINATES: similar to AA sequence:RefSeq:WP_015410978.1;locus_tag=MM_RS01445;product=helix-turn-helix transcriptional regulator;protein_id=WP_011032216.1;transl_table=11	301.5	341.0	199.0	310.5	285.23381527679	-0.409707017781982	0.189209354847546	-2.16536343095774	0.030359864245683	0.132211899919676
sense	NC_003901.1	Protein Homology	CDS	352470	352877	.	-	0	ID=cds-WP_015410979.1;Parent=gene-MM_RS01450;Dbxref=GenBank:WP_015410979.1,GeneID:1478605;Name=WP_015410979.1;gbkey=CDS;inference=COORDINATES: similar to AA sequence:RefSeq:WP_011307044.1;locus_tag=MM_RS01450;product=DUF1699 family protein;protein_id=WP_015410979.1;transl_table=11	910.0	1256.5	787.5	965.0	982.814846058926	-0.501597971570866	0.164392701404488	-3.05121801202527	0.00227915020946332	0.0198963653420717
sense	NC_003901.1	Protein Homology	CDS	353472	353765	.	-	0	ID=cds-WP_011032218.1;Parent=gene-MM_RS01455;Dbxref=GenBank:WP_011032218.1,GeneID:1478606;Name=WP_011032218.1;gbkey=CDS;inference=COORDINATES: similar to AA sequence:RefSeq:WP_011032218.1;locus_tag=MM_RS01455;product=hypothetical protein;protein_id=WP_011032218.1;transl_table=11	213.16666666666666	195.0	113.0	159.0	166.684242236515	-0.170487817768397	0.225842920640322	-0.754895558758364	0.450311650799793	0.700068358486761
sense	NC_003901.1	Protein Homology	CDS	353927	356539	.	-	0	ID=cds-WP_048045841.1;Parent=gene-MM_RS01460;Dbxref=GenBank:WP_048045841.1,GeneID:1478607;Name=WP_048045841.1;gbkey=CDS;inference=COORDINATES: similar to AA sequence:RefSeq:WP_015410982.1;locus_tag=MM_RS01460;product=PKD domain-containing protein;protein_id=WP_048045841.1;transl_table=11	1371.0166666666664	1832.0052631578942	424.9166666666667	593.967418546366	926.692696107685	0.779651716357822	0.154978846396109	5.03069763705116	4.88698330646136e-07	1.65191400835851e-05
sense	NC_003901.1	Protein Homology	CDS	357394	358194	.	-	0	ID=cds-WP_011032220.1;Parent=gene-MM_RS01465;Dbxref=GenBank:WP_011032220.1,GeneID:1478608;Name=WP_011032220.1;gbkey=CDS;inference=COORDINATES: similar to AA sequence:RefSeq:WP_011032220.1;locus_tag=MM_RS01465;product=helix-turn-helix transcriptional regulator;protein_id=WP_011032220.1;transl_table=11	8.0	24.03333333333333	7.5	9.0	11.3134456565376	0.00539523139271359	0.313453748884711	0.017212208856682	0.986267322373439	NA
sense	NC_003901.1	Protein Homology	CDS	358480	358770	.	-	0	ID=cds-WP_011032221.1;Parent=gene-MM_RS01470;Dbxref=GenBank:WP_011032221.1,GeneID:1478609;Name=WP_011032221.1;gbkey=CDS;inference=COORDINATES: similar to AA sequence:RefSeq:WP_011032221.1;locus_tag=MM_RS01470;product=hypothetical protein;protein_id=WP_011032221.1;transl_table=11	185.0	276.0	146.0	228.0	205.652300016744	-0.456740678847166	0.200592806227575	-2.27695443040458	0.0227889469933972	0.109139158006269
sense	NC_003901.1	GeneMarkS-2+	CDS	359097	359225	.	+	0	ID=cds-WP_259637119.1;Parent=gene-MM_RS19390;Dbxref=GenBank:WP_259637119.1,GeneID:75933654;Name=WP_259637119.1;gbkey=CDS;inference=COORDINATES: ab initio prediction:GeneMarkS-2+;locus_tag=MM_RS19390;product=hypothetical protein;protein_id=WP_259637119.1;transl_table=11	4.0	5.0	0	9.5	4.31955482688908	-0.141212517197763	0.24940746299335	-0.566192027708201	0.571263248834648	NA
sense	NC_003901.1	Protein Homology	CDS	359318	359563	.	-	0	ID=cds-WP_011032222.1;Parent=gene-MM_RS01475;Dbxref=GenBank:WP_011032222.1,GeneID:1478610;Name=WP_011032222.1;gbkey=CDS;inference=COORDINATES: similar to AA sequence:RefSeq:WP_011032222.1;locus_tag=MM_RS01475;product=hypothetical protein;protein_id=WP_011032222.1;transl_table=11	1661.25	1916.1666666666667	769.0	1062.0	1269.92428279791	0.147369268324498	0.156448563499901	0.941966260524923	0.346209914058698	0.609958921314324
sense	NC_003901.1	Protein Homology	CDS	360219	360746	.	+	0	ID=cds-WP_011032223.1;Parent=gene-MM_RS01480;Dbxref=GenBank:WP_011032223.1,GeneID:1478611;Name=WP_011032223.1;gbkey=CDS;inference=COORDINATES: similar to AA sequence:RefSeq:WP_011032223.1;locus_tag=MM_RS01480;product=protease inhibitor I42 family protein;protein_id=WP_011032223.1;transl_table=11	309.0	495.1	178.0	274.0	293.348099624417	0.006392238599986	0.1887278432665	0.0338701406710805	0.972980703813385	0.98793395249232
sense	NC_003901.1	Protein Homology	CDS	360999	361349	.	-	0	ID=cds-WP_155395340.1;Parent=gene-MM_RS01485;Dbxref=GenBank:WP_155395340.1,GeneID:1478612;Name=WP_155395340.1;gbkey=CDS;inference=COORDINATES: protein motif:HMM:NF039803.4;locus_tag=MM_RS01485;product=toxin-antitoxin system TumE family protein;protein_id=WP_155395340.1;transl_table=11	42.0	56.69090909090909	47.0	41.0	48.6870409606042	-0.496616834781538	0.292332586542793	-1.69880765143109	0.0893554314886513	0.274583762513223
sense	NC_003901.1	Protein Homology	CDS	361367	361657	.	-	0	ID=cds-WP_011032225.1;Parent=gene-MM_RS01490;Dbxref=GenBank:WP_011032225.1,GeneID:1478613;Name=WP_011032225.1;gbkey=CDS;inference=COORDINATES: similar to AA sequence:RefSeq:WP_011032225.1;locus_tag=MM_RS01490;product=hypothetical protein;protein_id=WP_011032225.1;transl_table=11	116.57142857142857	182.57142857142856	125.75	144.0	145.366143418072	-0.601018344672569	0.228221508013366	-2.6334868694206	0.00845131034470664	0.0531774008053295
sense	NC_003901.1	Protein Homology	CDS	361956	362621	.	+	0	ID=cds-WP_011032226.1;Parent=gene-MM_RS01500;Dbxref=GenBank:WP_011032226.1,GeneID:1478614;Name=WP_011032226.1;Ontology_term=GO:0003677;gbkey=CDS;go_function=DNA binding|0003677||IEA;inference=COORDINATES: protein motif:HMM:NF013209.5;locus_tag=MM_RS01500;product=winged helix-turn-helix domain-containing protein;protein_id=WP_011032226.1;transl_table=11	118.08333333333333	157.07692307692307	104.74358974358974	149.75	134.246094406139	-0.607460795986979	0.22285116082979	-2.72585879169348	0.00641344296395107	0.0437649734652717
sense	NC_003901.1	GeneMarkS-2+	CDS	362814	365843	.	-	0	ID=cds-WP_011032227.1;Parent=gene-MM_RS01505;Dbxref=GenBank:WP_011032227.1,GeneID:1478615;Name=WP_011032227.1;gbkey=CDS;inference=COORDINATES: ab initio prediction:GeneMarkS-2+;locus_tag=MM_RS01505;product=hypothetical protein;protein_id=WP_011032227.1;transl_table=11	356.6416666666666	522.833333333333	246.06944444444449	367.7277777777777	361.406403060269	-0.275205658862206	0.177186384304475	-1.55319868364883	0.120375675726592	0.330436344983195
